order_id,session_id,user_id,order_ts,channel,device,device_id,ip_hash,shipping_pincode,city_tier,payment_method,coupon_id,gross_amount,discount_amount,shipping_amount,net_amount,promo_flag,order_status,item_count,total_qty,order_value,top_category,signup_date,segment,risk_profile,new_user_flag,payment_fail_count,rto_flag,refund_flag,refund_amount,discount_pct_check,high_discount_flag,cod_flag,order_hour,late_night_flag,payment_fail_flag,qty_outlier_flag,order_value_zscore,high_value_flag,device_user_count,device_reuse_flag,top_risk_reasons,signal_count,week_start,risk_band,recommended_action
O000000002,S000000065,U001492,2025-08-03 00:45:57,email,mobile,Dc622734c09,IP39b2d81368,575439.0,tier2,card,NO_COUPON,1045.38,0.0,0.0,1045.38,0,placed,2,5,397.0,Beauty,2025-06-10,regular,normal,0,2,0.0,0.0,0.0,0.0,0,0,0,1,1,0,-0.8300545158436784,0,1,0,Late Night Order | Card Testing,2.0,2025-07-28,Medium,Flag for Review
O000000003,S000000086,U000430,2025-08-03 08:43:49,organic,mobile,D52f834cf1d,IP1b361b0033,575842.0,tier2,card,NO_COUPON,9170.26,0.0,0.0,9170.26,0,placed,4,8,3816.6800000000003,Fashion,2025-05-30,regular,normal,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0,0.48598090079115347,0,1,0,,0.0,2025-07-28,Low,Flag for Review
O000000004,S000000137,U002435,2025-08-03 16:40:31,organic,web,D8331820412,IP396d8b38d5,563967.0,tier1,upi,NO_COUPON,5184.57,0.0,0.0,5184.57,0,placed,2,6,1728.19,Home,2025-07-11,value,rto_prone,0,0,0.0,0.0,0.0,0.0,0,0,16,0,0,0,-0.15960515090773728,0,1,0,,0.0,2025-07-28,Low,Flag for Review
O000000005,S000000154,U001798,2025-08-03 00:52:44,search,mobile,Dc20ef0973a,IPf06db401aa,575614.0,tier2,card,SHIPFREE,9287.66,80.0,0.0,9207.66,0,placed,4,7,6610.82,Beauty,2025-06-22,value,normal,0,1,0.0,0.0,0.0,0.8613579739137739,0,0,0,1,0,0,0.504996881077992,0,1,0,Late Night Order,1.0,2025-07-28,Low,Flag for Review
O000000006,S000000156,U002291,2025-08-03 04:20:01,organic,mobile,Dfd55d944d6,IP5ad57ec07d,569539.0,tier2,card,NO_COUPON,229.0,0.0,88.98,317.98,0,placed,1,1,229.0,Grocery,2025-07-22,value,normal,0,1,0.0,0.0,0.0,0.0,0,0,4,1,0,0,-0.9622884680291068,0,1,0,Late Night Order,1.0,2025-07-28,Low,Flag for Review
O000000007,S000000164,U002385,2025-08-03 10:47:34,search,web,D8794f6e350,IP20b404bb84,569539.0,tier1,cod,NO_COUPON,8958.06,0.0,0.0,8958.06,0,placed,4,9,3344.7999999999997,Beauty,2025-07-02,regular,normal,0,0,0.0,0.0,0.0,0.0,0,1,10,0,0,0,0.45160959741068357,0,1,0,Cash on Delivery,1.0,2025-07-28,Low,Flag for Review
O000000008,S000000171,U002662,2025-08-03 11:50:32,organic,mobile,Db4afefa832,IP461f5c4e5c,572769.0,tier1,upi,NO_COUPON,2728.59,0.0,0.0,2728.59,0,placed,4,5,2341.4300000000003,Sports,2025-07-27,value,normal,1,0,0.0,0.0,0.0,0.0,0,0,11,0,0,0,-0.5574149231809048,0,1,0,New User,1.0,2025-07-28,Low,Flag for Review
O000000009,S000000227,U001389,2025-08-03 04:49:11,organic,web,D725819239f,IP7c511754b4,578600.0,tier2,card,FLASH40,4596.19,500.0,0.0,4096.19,0,placed,2,4,1930.4899999999998,Home,2025-05-27,value,normal,0,0,0.0,0.0,0.0,10.87857551580766,0,0,4,1,0,0,-0.25490857919709076,0,1,0,Late Night Order,1.0,2025-07-28,Low,Flag for Review
O000000011,S000000298,U001170,2025-08-03 20:07:51,organic,web,D22abcc3a33,IP894141f301,563967.0,tier1,card,NO_COUPON,4507.74,0.0,0.0,4507.74,0,placed,4,7,3173.95,Fashion,2025-06-09,value,normal,0,0,0.0,0.0,0.0,0.0,0,0,20,0,0,0,-0.2692353548050198,0,1,0,,0.0,2025-07-28,Low,Flag for Review
O000000012,S000000334,U001736,2025-08-03 10:49:49,search,web,Db59a019a63,IP0524dd9cf0,579260.0,tier1,card,NO_COUPON,16647.57,0.0,0.0,16647.57,0,placed,2,5,6610.26,Electronics,2025-06-03,regular,normal,0,0,0.0,0.0,0.0,0.0,0,0,10,0,0,0,1.6971255307620323,0,1,0,,0.0,2025-07-28,Low,Flag for Review
O000000013,S000000377,U000152,2025-08-03 17:04:12,referral,mobile,D1d3288f109,IPb0c8351798,579266.0,tier2,card,NO_COUPON,4853.16,0.0,0.0,4853.16,0,placed,4,8,2953.01,Fashion,2025-06-05,premium,normal,0,0,0.0,0.0,0.0,0.0,0,0,17,0,0,0,-0.21328561110246624,0,1,0,,0.0,2025-07-28,Low,Flag for Review
O000000014,S000000384,U000762,2025-08-03 03:26:09,paid_social,mobile,D0a0700ad95,IP708da5de32,579260.0,tier1,netbanking,NO_COUPON,384.6,0.0,82.16,466.76,0,placed,2,2,384.6,Grocery,2025-07-30,regular,normal,1,1,0.0,0.0,0.0,0.0,0,0,3,1,0,0,-0.9370850052298556,0,1,0,Late Night Order | New User,2.0,2025-07-28,Medium,Flag for Review
O000000015,S000000386,U002052,2025-08-03 16:23:21,referral,web,Dc9b476352f,IP43aca88218,578418.0,tier2,cod,NO_COUPON,1813.55,0.0,0.0,1813.55,0,placed,1,1,1813.55,Fashion,2025-07-09,regular,normal,0,0,0.0,0.0,0.0,0.0,0,1,16,0,0,0,-0.7056294257504857,0,1,0,Cash on Delivery,1.0,2025-07-28,Low,Flag for Review
O000000016,S000000425,U001385,2025-08-03 14:56:03,organic,web,Df0e122aa06,IP85c2248554,574573.0,tier3,card,NO_COUPON,2710.73,0.0,0.0,2710.73,0,placed,2,3,1866.27,Sports,2025-06-08,regular,normal,0,0,0.0,0.0,0.0,0.0,0,0,14,0,0,0,-0.5603078142194308,0,1,0,,0.0,2025-07-28,Low,Flag for Review
O000000017,S000000444,U002061,2025-08-03 10:59:32,referral,web,D93aef875d8,IP1b226e6170,563967.0,tier3,cod,NO_COUPON,33170.45,0.0,0.0,33170.45,0,placed,4,10,12379.02,Electronics,2025-07-07,regular,normal,0,0,0.0,0.0,0.0,0.0,0,1,10,0,0,0,4.373435244235625,1,1,0,Cash on Delivery | Abnormal Order Value,2.0,2025-07-28,Medium,Call Verification
O000000018,S000000467,U003032,2025-08-03 22:15:53,organic,mobile,Dbb114f4e07,IP1e3a8bbe53,569539.0,tier2,cod,NO_COUPON,1795.55,0.0,0.0,1795.55,0,placed,3,5,1138.84,Grocery,2025-06-24,regular,normal,0,0,0.0,0.0,0.0,0.0,0,1,22,0,0,0,-0.7085449934264917,0,1,0,Cash on Delivery,1.0,2025-07-28,Low,Flag for Review
O000000019,S000000499,U000300,2025-08-04 00:01:22,organic,web,D271063e664,IPe347a53c18,578963.0,tier2,cod,NO_COUPON,1732.82,0.0,0.0,1732.82,0,placed,4,7,1035.77,Grocery,2025-06-15,value,normal,0,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,-0.7187057467773723,0,1,0,Cash on Delivery | Late Night Order,2.0,2025-08-04,Medium,Call Verification
O000000020,S000000521,U000266,2025-08-03 21:27:21,search,web,Dc76a2a7266,IP76fc3b38e4,572901.0,tier2,upi,CPN008,2968.57,150.0,0.0,2818.57,0,placed,4,10,1288.71,Grocery,2025-07-13,value,normal,0,0,0.0,0.0,0.0,5.052937946553391,0,0,21,0,0,0,-0.5185439270204659,0,1,0,,0.0,2025-07-28,Low,Flag for Review
O000000021,S000000567,U000691,2025-08-03 02:30:57,email,web,D1f3ce98244,IPd1dbdf471c,568375.0,tier3,card,NO_COUPON,5497.89,0.0,0.0,5497.89,0,cancelled_payment_failed,2,4,3954.77,Home,2025-08-01,premium,card_tester,1,2,0.0,0.0,0.0,0.0,0,0,2,1,1,0,-0.10885483622739414,0,1,0,Late Night Order | Card Testing | New User,3.0,2025-07-28,High,Hold + Manual Review
